Year,County,Region,Type of Forest,Clear-cut Areal,3-10 years  Areal,11 - 20 years  Areal,21 - 30 years  Areal,31 - 40 years  Areal,41 - 60 years  Areal,61 - 80 years  Areal,81 - 100 years  Areal,101 - 120 years  Areal,121 - 140 years  Areal,141+ years  Areal,Yearly growth,Average Age,Clear-cut Percent,3-10 years  Percent,11 - 20 years  Percent,21 - 30 years  Percent,31 - 40 years  Percent,41 - 60 years  Percent,61 - 80 years  Percent,81 - 100 years  Percent,101 - 120 years  Percent,121 - 140 years  Percent,141+ years  Percent,Old Forest 100 120 140*
2007,01 Stockholms län,Svealand,Unprotected,18.9,21.5,17.8,36.1,28.1,42,43.8,30,22.8,6.2,13.9,7.11,55.2,6.7,7.6,6.3,12.8,10,14.9,15.6,10.7,8.1,2.2,4.9,15.2
2007,03 Uppsala län,Svealand,Unprotected,19.2,40,51.1,43,42,73.9,67.2,54.8,30.8,18.7,6.3,6.66,52.8,4.3,8.9,11.4,9.6,9.4,16.5,15,12.3,6.9,4.2,1.4,5.6
2007,04 Södermanlands län,Svealand,Unprotected,15.9,19.8,31.9,31.8,43.2,69.3,50.4,36.3,13.6,7.9,4.3,7.72,50.3,4.9,6.1,9.8,9.8,13.3,21.4,15.5,11.2,4.2,2.4,1.3,7.9
2007,05 Östergötlands län,Svealand,Unprotected,24.8,45.6,70.7,78.2,74.6,122.1,76.9,69.3,33.3,11,6.1,7.96,48.3,4,7.4,11.5,12.8,12.2,19.9,12.6,11.3,5.4,1.8,1,8.2
2007,06 Jönköpings län,Götaland,Unprotected,39.6,68.8,83.3,62.5,69.8,114.9,91.2,83.9,45.1,22.6,15.7,7.15,51,5.7,9.9,11.9,9,10,16.5,13.1,12,6.5,3.2,2.3,12
2007,07 Kronobergs län,Götaland,Unprotected,59.3,81.4,62.2,55.2,83.5,84.8,93.7,69.1,35.6,6.8,2.1,6.36,43.8,9.4,12.8,9.8,8.7,13.2,13.4,14.8,10.9,5.6,1.1,0.3,1.4
2007,08 Kalmar län,Götaland,Unprotected,26.9,57.1,64.5,84.7,64.2,133.5,125.3,71.5,48.4,21.4,5.4,7.22,51.8,3.8,8.1,9.2,12.1,9.1,19,17.8,10.2,6.9,3,0.8,10.7
2007,09 Gotlands län,Götaland,Unprotected,5,6.3,9.1,9,7.8,8.3,13.7,10.6,11.8,11.1,15.6,4.17,74.6,4.6,5.8,8.4,8.3,7.2,7.7,12.7,9.8,10.9,10.3,14.4,14.4
2007,10 Blekinge län,Götaland,Unprotected,7.1,19.5,13,23,23.6,31.1,34,10.3,5.6,1.5,,8.34,43.6,4.2,11.6,7.7,13.6,14,18.4,20.1,6.1,3.3,0.9,0,4.2
2007,12 Skåne län,Götaland,Unprotected,19.4,22.8,42.4,37.3,39.6,88.8,54.1,38.4,26,11.2,1.5,8.24,50.6,5.1,6,11.1,9.8,10.4,23.3,14.2,10.1,6.8,2.9,0.4,10.1
2007,13 Hallands län,Götaland,Unprotected,13.3,32,22.7,23.7,34.1,58.8,60.7,32.6,12.9,3.1,1.2,8.3,48.8,4.5,10.8,7.7,8,11.6,19.9,20.6,11,4.4,1.1,0.4,5.9
2007,14 Västra Götalands län,Götaland,Unprotected,56.7,114.1,132.7,133.4,149.8,220,167,136.6,80.6,37,22.5,7.66,50.5,4.5,9.1,10.6,10.7,12,17.6,13.4,10.9,6.4,3,1.8,11.2
2007,17 Värmlands län,Svealand,Unprotected,55.4,113.6,135,161.3,172.9,292.6,116.9,107.2,65.1,43.1,42.9,6.7,49.3,4.2,8.7,10.3,12.4,13.2,22.4,9,8.2,5,3.3,3.3,6.6
2007,18 Örebro län,Svealand,Unprotected,22.1,54.3,66.9,72.8,75.9,96.5,63.7,38.9,41.9,14.9,4,6.74,46.5,4,9.8,12.1,13.2,13.8,17.5,11.5,7,7.6,2.7,0.7,3.4
2007,19 Västmanlands län,Svealand,Unprotected,16.8,31.3,40.3,29.1,36.4,53.5,29.3,27.8,14.1,8.9,3,6.42,45.3,5.8,10.8,13.9,10,12.5,18.4,10.1,9.6,4.9,3.1,1,4.1
2007,20 Dalarnas län,Svealand,Unprotected,79.8,148.4,211.7,244.6,196.8,243.9,122.6,137.3,137.8,172.4,156.1,4.69,60,4.3,8,11.4,13.2,10.6,13.2,6.6,7.4,7.4,9.3,8.4,8.4
2007,21 Gävleborgs län,Södra Norrland,Unprotected,61.9,147.1,154.4,177.8,179.5,258.6,142.4,136.3,126.7,78.8,38.9,6.01,52.6,4.1,9.8,10.3,11.8,11.9,17.2,9.5,9.1,8.4,5.2,2.6,7.8
